K,BIC,AIC
1,-1205296.7740012617,-1248420.863982333
2,-1157270.8091771314,-1243524.1327568768
3,-1106485.998896255,-1235868.5560746745
4,-1050105.1402068601,-1222616.9309839536
5,-993580.4275452042,-1209221.4519209717
6,-935395.9541952221,-1194166.2121696637
